date,infra_release.rss,infra_backend_crawler,infra_backend-merge-all-repo,infra_backend_jenkins_ci_cloudbess_com_filler,infra_mirroring,tools_maven-hpi-plugin,infra_patron_messages,infra_commit_history_generation,infra_checkout_stats,infra_repo.jenkins-ci.org_maven_index,jenkins_pom,infra_jenkins-infra,infra_pluginmirror,infra_backend_pull_request_greeter,infra_extension-indexer,jenkins_main_trunk,infra_census_push,infra_plugin_changes_report,jenkins_2.0,tmp-jenkins-20-jenkinsfile,jenkins_lts_branch,tools_maven-hpi-plugin-maven-2.x,infra_changelog_refresh,infra_github_repository_list,infra_statistics,infra_generate_monthly_json,infra_jenkins-ci.org_webcontents
2016-01-10,0.00097547,0.00542998,,0.00399133,,,0.00010992,0.00404770,,,,,,0.00243432,0.02987714,,0.00036544,,,,,,,,,0.00060377,
2016-01-11,0.00118706,0.00489000,0.61577159,0.00426829,0.00331466,,0.00015383,0.00416135,0.00010064,,0.00001369,,,0.00230779,0.03036881,0.04329296,0.00001193,,,,,,0.00043036,0.00434464,0.04126057,0.00093286,0.00001569
2016-01-12,0.00111251,0.00512102,,0.07076746,,,0.00014524,0.00416310,0.00030946,0.00001338,,,,0.00276427,0.03420585,0.04597675,0.00021935,0.01430776,,,,,0.00080325,0.00360404,,0.00081554,0.00002878
2016-01-13,0.00105264,0.00570565,,0.00463578,,,0.00012429,0.00427317,0.00011248,0.00001223,,,,0.00259615,0.02978492,,0.00020275,,0.04307853,,,,,0.00347812,,0.00069439,0.00001428
2016-01-14,0.00104866,0.00538001,,0.00441409,,,0.00013855,0.00421524,0.00008020,0.00001304,,,,0.00238525,0.03041112,,0.00001231,,0.04280251,,,,,0.00390880,,0.00067605,0.00008120
2016-01-15,0.00108769,0.00572998,,0.00439542,,,0.00018370,0.00427251,0.00007502,0.00001483,,,,0.00255296,0.03013802,0.04294062,0.00034574,,,,,,0.00074466,0.00370152,,0.00107144,0.00001826
2016-01-16,0.00103494,0.00595898,,0.00428022,0.00339485,,0.00013965,0.00415642,0.00011402,0.00001286,,,,0.00387704,0.03033610,0.04180308,0.00029925,,,,,,0.00079182,0.00407623,,0.00050875,0.00009259
2016-01-17,0.00128676,0.00523047,,0.00406213,,,0.00010168,0.00413697,,0.00001098,,,,0.00235574,0.04084843,0.04274089,0.00041082,,,,,,,,,0.00065725,
2016-01-18,0.00105361,0.00566616,0.63053215,0.00431710,,,0.00007550,0.00443843,0.00009434,0.00002219,0.00001411,,,0.00226839,0.02968885,,0.00001336,0.01201569,,,,,0.00074083,0.00357088,0.04919916,0.00091154,0.00003061
2016-01-19,0.00103465,0.00581164,,0.00447791,,,0.00015620,0.00741704,0.00010873,0.00001286,,,,0.00250661,0.03470367,0.04611330,0.00001469,,0.04029227,,,,0.00072725,0.00376029,,0.00079713,0.00004074
2016-01-20,0.00118887,0.00562855,,0.00300032,0.00292177,,0.00013638,0.00421088,0.00011726,0.00010178,,,,0.00246605,0.03225103,0.04089667,0.00042111,,,,,,0.00043126,0.00409589,,0.00072898,0.00001547
2016-01-21,0.00123809,0.00630880,,0.00468663,0.00296600,,0.00017128,0.00420128,0.00014926,0.00001448,,,,0.00271086,0.02997339,,0.00001602,,,0.00256066,,,,0.00460953,,0.00080497,0.00001491
2016-01-22,0.00094253,0.00592675,,0.00361781,,,0.00014954,0.00417792,0.00008919,0.00003192,,,,0.00246902,0.03038685,,0.00007346,,,,,,,0.00452669,,0.00085429,0.00001513
2016-01-23,0.00083569,0.00569132,,0.00409013,,,0.00010587,0.00425050,0.00019664,0.00001477,,,,0.00242031,0.03179982,0.04013647,0.00029603,,,,,,0.00096355,0.00410072,,0.00074369,0.00001800
2016-01-24,0.00093013,0.00563146,,0.00408289,,,0.00015823,0.00412177,,0.00001061,,,,0.00286167,0.03047803,,0.00001385,,,,,,,,,0.00099076,
2016-01-25,0.00114433,0.00607345,0.57633203,0.00347058,,,0.00013119,0.00410677,0.00020648,0.00001646,0.00001860,,,0.00445440,0.03176292,0.04068537,0.00002596,0.01293540,,,,,0.00046598,0.00247329,0.05020816,0.00103454,0.00007752
2016-01-26,0.00103193,0.00587622,,0.00405509,0.00442400,,0.00011563,0.00422272,0.00024509,0.00001231,,,,0.00255029,0.03427467,0.04644137,0.00018874,,0.04027526,,,,,0.00750265,,0.00091036,0.00004762
2016-01-27,0.00121666,0.00552507,,0.00405919,,,0.00013421,0.00415338,0.00027462,0.00001284,,0.00176760,0.00103580,0.00266125,0.03133767,,0.00001447,,,,,,,0.00440299,,0.00066409,0.00005918
2016-01-28,0.00094966,0.00715766,,0.00410543,,,0.00001919,0.00413718,0.00009110,0.00001977,,,0.00044270,0.00192894,0.03048664,,0.00001372,,,,,,,0.00426968,,0.00074823,0.00002017
2016-01-29,0.00107170,0.00673309,,0.00390640,,0.00221204,0.00009769,0.00411238,0.00010647,0.00002468,,,0.00053132,0.00241081,0.03076876,,0.00014692,,0.04079774,,0.02328058,0.00494022,,0.00397124,,0.00107814,0.00001762
