date,infra_checkout_stats,infra_census_push
2016-01-10,,0.00009076
2016-01-11,0.00482714,0.00008541
2016-01-12,,0.00006740
2016-01-13,,0.00007042
2016-01-14,,0.00009745
2016-01-15,,0.00009784
2016-01-16,,0.00009657
2016-01-17,,0.00011196
2016-01-18,0.01513638,0.00913278
2016-01-19,,0.00006757
2016-01-20,,0.00010983
2016-01-21,,0.00006620
2016-01-22,,0.00010506
2016-01-23,,0.00006573
2016-01-24,,0.00010606
2016-01-25,0.00008051,0.00010616
2016-01-26,,0.00010124
2016-01-27,,0.00011470
2016-01-28,,0.00008571
2016-01-29,,0.00008315
